,asset,day,close,volume
0,bittorrent,2019/1/31,0.000483825,188349521.4
0,gowithmi,2019/7/29,0.005011317,328627.355
0,iov-blockchain,2019/1/1,0.00099009,5604.744657
0,celo,2020/5/22,0.83266264,2019357.174
0,d-community,2019/10/16,0.000592522,231731.9297
0,dmm-governance,2020/7/7,1.5459718,1408330.069
0,solana,2020/4/10,0.951054,87364276.12
0,vanta-network,2019/3/27,0.001053517,311778.0224
0,pdata,2019/7/5,0.21291327,178529.5883
0,trias,2019/5/24,0.010079262,249824.3662
0,ocean-protocol,2019/5/6,0.030009948,409704.4863
0,kleros,2019/1/1,0.007123198,2960.98498
0,waykichain-governance-coin,2020/6/23,0.006930786,18955274.06
0,fetch,2019/3/2,0.40774655,42849637.95
0,nervos-network,2019/11/19,0.00791719,11810928.01
0,betprotocol,2019/12/20,0.001677233,286549.1147
0,coti,2019/6/4,0.0955992,1819246.103
0,tokoin,2019/8/28,0.13143994,950875.1047
0,bqt,2019/5/10,0.8637304,121960.9203
0,dos-network,2019/3/22,0.04652299,1343711.406
0,2key-network,2020/5/14,0.09423432,81557.70897
0,lto-network,2019/2/6,0.06163437,1203603.302
0,kadena,2020/5/31,0.33193463,1313875.337
0,contentos,2019/6/20,0.047636405,234426.9976
0,uranus,2019/7/12,0.006129748,144842.9702
0,orion-protocol,2020/7/16,0.70414555,1216392.665
0,uma,2020/5/25,1.4214544,129575.7597
0,finnexus,2020/6/18,0.08578015,446970.2739
